gene,log fold change,p-value,adjusted p-value,cluster
SRSF11,-0.49969217,2.862468779668721e-19,6.246315801348531e-18,Fib1
NOTCH3,-2.3720915,2.535117308574409e-19,5.547839095769927e-18,Fib1
NME3,-0.719504,1.8883999934458e-19,4.138494964115436e-18,Fib1
ZFP36L2,-0.32181162,1.609234485688344e-19,3.531761030012853e-18,Fib1
DDIT4,-1.2789211,1.5963870163247835e-19,3.508605996310945e-18,Fib1
TRPS1,-1.4913679,1.0478823514855704e-19,2.3097262509295944e-18,Fib1
PRDX6,-0.3786193,1.0025189418116288e-19,2.2129301786376633e-18,Fib1
MME,-1.904724,9.865845862459707e-20,2.180908763372967e-18,Fib1
SRSF5,-0.46914136,3.493737700489553e-20,7.790780054741304e-19,Fib1
EDNRB,-2.589956,2.3291772498403594e-20,5.209104317907978e-19,Fib1
MMP23B,-1.0901201,1.8517080257072282e-20,4.147337256990896e-19,Fib1
TNFSF13B,-1.5902677,1.6657373075560822e-20,3.741784907782229e-19,Fib1
TMEM204,-1.063172,1.365412557862827e-20,3.0853072220938884e-19,Fib1
TYMP,-0.84014106,1.2728657201641367e-20,2.889008005275957e-19,Fib1
NSA2,-0.5041697,9.141816825205061e-21,2.0841977911195122e-19,Fib1
ENPP2,-0.8307601,8.696527062739332e-21,1.9886145341817858e-19,Fib1
NEGR1,-0.54816306,8.688668413954071e-21,1.9886145341817858e-19,Fib1
UQCRH,-0.42423242,5.733910088100029e-21,1.3190583824657823e-19,Fib1
HLA-A,-0.22242738,2.3167561105179972e-21,5.361886301236728e-20,Fib1
SUB1,-0.45231178,2.293686097206668e-21,5.3165485788819197e-20,Fib1
ZEB2,-0.61034185,1.911467970505073e-21,4.437336360101063e-20,Fib1
CXCL2,-2.5310652,1.6686416843534364e-21,3.885442336661393e-20,Fib1
PTK7,-2.2016146,1.5159950466071115e-21,3.535393028537959e-20,Fib1
RBMX,-0.5404138,1.5103269299956573e-21,3.5275602225816e-20,Fib1
SPCS2,-0.5250299,1.287552883979521e-21,3.0164678378507947e-20,Fib1
SAP18,-0.39288336,7.849700533039285e-22,1.8503730808977634e-20,Fib1
TGFBI,-0.7753568,6.495739497022953e-22,1.5359507866412632e-20,Fib1
EMID1,-2.7525277,5.6972333021559235e-22,1.349228506828399e-20,Fib1
EIF1,-0.12202506,2.9975105457627005e-22,7.187907941369741e-21,Fib1
NID2,-2.0300355,2.2708542183133713e-22,5.462566643265629e-21,Fib1
MTRNR2L8,-0.53581375,1.3949794356244346e-22,3.398454685671968e-21,Fib1
PCNP,-0.5219507,1.3607681786036873e-22,3.3204047808580386e-21,Fib1
GPM6B,-2.9685688,8.360380219561422e-23,2.0564381296908327e-21,Fib1
EIF3F,-0.42512378,6.611343248452676e-23,1.6288430341953974e-21,Fib1
IMPDH2,-0.51976526,5.534811615884752e-23,1.3702471220849206e-21,Fib1
TAGLN,-1.2660555,4.3578606772532935e-23,1.0823792169925863e-21,Fib1
SEMA5A,-1.9667225,4.344149592527008e-23,1.0807310264796423e-21,Fib1
SEPT11,-0.5012657,2.32877259108654e-23,5.802936595244192e-22,Fib1
F2RL2,-1.7478032,1.9154552465771088e-23,4.788638116442772e-22,Fib1
WSB1,-0.72551805,1.479473942637478e-23,3.7108316048912117e-22,Fib1
EID1,-0.33999732,1.355454862619808e-23,3.4053574056772313e-22,Fib1
BEX3,-0.56461483,8.406852552673204e-24,2.1155629776290476e-22,Fib1
EPHX1,-0.46204397,6.192604068708119e-24,1.563504580983744e-22,Fib1
PNISR,-0.5984961,5.397512585959941e-24,1.367280344121693e-22,Fib1
PRRX1,-0.30272344,3.488973201303236e-24,8.897172896478618e-23,Fib1
EIF3K,-0.41626006,3.2268743196233553e-24,8.242559403385745e-23,Fib1
KCTD12,-0.7717002,2.113144390489402e-24,5.434053967125524e-23,Fib1
TXNIP,-0.32842046,1.2024372608757045e-24,3.1078221928724846e-23,Fib1
FKBP8,-0.7475813,1.0287886509777942e-24,2.66351638028573e-23,Fib1
STMN1,-2.352235,9.32227124022871e-25,2.4217294760968292e-23,Fib1
GLT8D2,-0.7765359,3.9663558632764823e-25,1.0338922493438272e-23,Fib1
ID4,-1.8251079,2.2811669850611133e-25,5.9768140131747e-24,Fib1
RUNX1T1,-0.7517868,1.5447874033482686e-25,4.06838406657669e-24,Fib1
EEF2,-0.24754739,1.4073278509693715e-25,3.719192547328227e-24,Fib1
HNRNPDL,-0.5149554,1.0541497775008786e-25,2.800371800230595e-24,Fib1
NKD2,-2.9726913,8.385690559220132e-26,2.2315578970746955e-24,Fib1
MYC,-1.2893114,6.554766464201617e-26,1.7534861250556866e-24,Fib1
PSME2,-0.6995295,3.961755908430398e-26,1.061681078969725e-24,Fib1
FUS,-0.5996817,2.549717496060527e-26,6.844803998651063e-25,Fib1
COCH,-2.733822,1.489499624621906e-26,4.012717242698345e-25,Fib1
UBB,-0.24277386,5.2120083792539505e-27,1.4140928595577993e-25,Fib1
HNRNPA0,-0.59068894,1.8402389273552626e-27,5.0466157298656433e-26,Fib1
RSL24D1,-0.56408125,1.4405396499780068e-27,3.9647284961106404e-26,Fib1
FAM3C,-0.7020505,9.693143376839108e-28,2.6726130881086166e-26,Fib1
ABCA8,-0.9787552,6.259759543151258e-28,1.732207011261512e-26,Fib1
PTMS,-0.59183127,5.959317922903553e-28,1.652061366104388e-26,Fib1
PRNP,-0.5008386,4.68278437353116e-28,1.3029058525626313e-26,Fib1
ASPN,-1.0748922,2.8428584579000544e-28,7.924208566500609e-27,Fib1
F13A1,-1.419335,2.020202264141977e-28,5.651756334206722e-27,Fib1
ANP32B,-0.60033005,1.4192509915362097e-28,3.999826364523174e-27,Fib1
ID1,-1.2705506,7.49778497520242e-29,2.12483609454948e-27,Fib1
CYP26B1,-1.8143647,5.285456311119422e-29,1.5062564394094995e-27,Fib1
APOC1,-3.390016,4.902002312804112e-29,1.3995903799641647e-27,Fib1
CCL19,-3.0218236,3.8088447274980245e-29,1.0895150414331894e-27,Fib1
SPATS2L,-0.87057686,3.0224818672109543e-29,8.694615917447707e-28,Fib1
HMGN1,-0.7187507,2.765102968444621e-29,7.969235442073882e-28,Fib1
CCNL1,-1.2638607,2.0725100328803434e-29,6.007132970065891e-28,Fib1
EMP2,-0.68096197,1.0636609004154345e-29,3.0947467150182403e-28,Fib1
FGF7,-0.7896903,7.88084479996571e-30,2.297326418310615e-28,Fib1
CYP1B1,-1.2950423,6.830935719876006e-30,1.9950773063308983e-28,Fib1
SLC38A2,-0.7784543,2.1400094224451608e-30,6.322755111769793e-29,Fib1
DIO2,-1.2895559,1.8605915623607693e-30,5.507855836252084e-29,Fib1
CD99,-0.7020342,1.2129980350786229e-30,3.625938353390599e-29,Fib1
PDGFRA,-0.5162927,5.252048535181165e-31,1.5730400269586726e-29,Fib1
EDF1,-0.42356193,3.318021524873284e-31,1.001635944514613e-29,Fib1
COX4I1,-0.38385665,3.0315708975429237e-31,9.169751576231318e-30,Fib1
NME4,-1.0795513,1.2859574496005473e-31,3.9286000085296715e-30,Fib1
COL11A1,-3.9025931,7.907788755882845e-32,2.4255315912873587e-30,Fib1
COMMD6,-0.5204629,6.223145846698849e-32,1.912646937793258e-30,Fib1
HNRNPA3,-0.60011506,6.017313299474562e-32,1.853114125997458e-30,Fib1
TSC22D1,-0.6521298,1.52049068165459e-32,4.692019224701791e-31,Fib1
VCAM1,-1.6764832,5.143881043891551e-33,1.5970077834439723e-31,Fib1
PALLD,-0.6774366,3.218861235298945e-33,1.0054827273863268e-31,Fib1
CEBPB,-0.93066525,3.0591853355229233e-33,9.575626229531283e-32,Fib1
