gene,log fold change,p-value,adjusted p-value,cluster
EEF1A1,1.5544963,1.9541250364436317e-127,6.091685700342138e-125,Fib6
COL5A1,1.3927256,3.10314150125111e-125,9.480097286322141e-123,Fib6
RPL3,2.093801,1.608011680350681e-120,4.634411022142765e-118,Fib6
LY6E,1.4004619,4.790154567471587e-119,1.3549927966320092e-116,Fib6
PPIB,1.3891032,1.7559844441845537e-117,4.705730242968256e-115,Fib6
H3F3A,1.7490541,1.251263267214979e-115,3.295352828742898e-113,Fib6
NEAT1,1.5662223,9.548107728213982e-115,2.4719889076011623e-112,Fib6
RPL21,1.6242244,6.716800820338969e-114,1.709985542177963e-111,Fib6
FTH1,0.7381573,1.9909065797210754e-109,4.905015807296681e-107,Fib6
CD99,1.6628826,5.46582493445542e-109,1.32524564879058e-106,Fib6
CTSC,2.1543272,4.929342725640894e-108,1.1764954708463227e-105,Fib6
RPL13A,1.1770483,8.470581438816017e-108,1.990586638121764e-105,Fib6
CAV1,1.2635643,1.5504322549908836e-106,3.58831101439178e-104,Fib6
PPIC,1.4288175,2.474509698540892e-105,5.558549359590018e-103,Fib6
MEG3,1.8981398,3.522422553551736e-104,7.797826739927937e-102,Fib6
SLC25A6,1.7019293,5.400269249413566e-103,1.1456821220110028e-100,Fib6
TNC,2.4037178,5.544880882769503e-99,1.1144480984776864e-96,Fib6
TMEM59,1.474289,8.959484785583037e-98,1.7773523389581934e-95,Fib6
RPL10,1.1911948,1.9163147140256404e-97,3.752782981633546e-95,Fib6
CLEC2A,4.9367023,4.1279736496740244e-97,7.981619936553256e-95,Fib6
CAPZB,1.3986053,3.654234068774277e-94,6.891163629694702e-92,Fib6
TIMP1,0.86373365,1.6918382622486088e-93,3.15156456778628e-91,Fib6
RPL41,1.200286,4.301757938187168e-93,7.916789458531204e-91,Fib6
RPL18A,1.1420114,1.8573737274376005e-92,3.377545676977303e-90,Fib6
GAS6,1.3865294,3.2848097498230464e-92,5.902996344534945e-90,Fib6
COL1A2,0.7532689,9.30827856236772e-92,1.6533018027926388e-89,Fib6
HSPB3,4.6279397,1.5427468894108808e-91,2.7086734179024374e-89,Fib6
HLA-A,0.90604293,4.659714453917925e-90,8.088311168590489e-88,Fib6
FTL,0.5696207,5.193661800617666e-90,8.913840899374703e-88,Fib6
F10,1.4992127,8.597079594864549e-90,1.4591154534617332e-87,Fib6
GNG11,1.3268867,3.214936976491563e-89,5.396501353396552e-87,Fib6
RPSA,1.5426921,1.5931122960528784e-88,2.645085904587795e-86,Fib6
JUNB,1.5779285,2.1051344155853043e-87,3.457626687964035e-85,Fib6
TSPAN4,1.4301615,3.5764114757910757e-87,5.811668648160497e-85,Fib6
CEBPB,1.5297245,6.926307042288677e-86,1.1136772639048372e-83,Fib6
LMNA,0.95442986,9.522710370755529e-86,1.5152020928467781e-83,Fib6
CYP26B1,2.1558511,1.7903411706376124e-85,2.8193259156174773e-83,Fib6
CYR61,1.2828851,4.40823875812522e-85,6.871004799016606e-83,Fib6
PAM,1.0653669,7.937982941118812e-82,1.188751857113626e-79,Fib6
C12orf75,1.8476931,1.706142702096463e-81,2.50589709370418e-79,Fib6
COL6A5,4.3823934,1.0342560097192738e-79,1.4904019385341422e-77,Fib6
PTMA,0.8322314,1.5098322307809486e-79,2.155391338801775e-77,Fib6
TSPO,1.1439126,1.012782447902207e-78,1.4324307307135383e-76,Fib6
COL14A1,1.2275708,2.1480883580326694e-78,2.982913606268093e-76,Fib6
SPARC,0.8215911,8.718978260260318e-78,1.1891285082631818e-75,Fib6
RHOC,1.7690121,1.2436348258267837e-77,1.681108138451692e-75,Fib6
ANPEP,1.3856654,3.3861868156664806e-76,4.458965828388405e-74,Fib6
MT1X,1.4177846,2.0172192517708556e-74,2.5893297538487243e-72,Fib6
RSPO1,3.3391593,1.0573523696423748e-73,1.3459214538572732e-71,Fib6
COL4A1,1.3205622,3.3643078943987906e-73,4.247091164210044e-71,Fib6
RPS27,1.0321145,4.556766967721207e-72,5.613275438059793e-70,Fib6
RPS3A,0.9064421,7.548689937275396e-72,9.224499103350534e-70,Fib6
DKK3,1.2554008,7.882169632991658e-72,9.555566757456156e-70,Fib6
SELENOM,0.9573123,2.304477275175986e-71,2.7717236518356837e-69,Fib6
CYBA,1.2442023,7.202758903987675e-71,8.463241712185519e-69,Fib6
FST,1.5838971,1.1617768413557274e-70,1.3546672711228043e-68,Fib6
ZFP36,1.2978779,1.3429401848305144e-70,1.5540463123701596e-68,Fib6
NRN1,1.5450065,9.009150166917033e-70,1.0346975097718624e-67,Fib6
MMP23B,1.8832656,1.081205729365991e-69,1.232493844482501e-67,Fib6
CD63,0.5519648,1.3459936011658656e-69,1.5229668339117482e-67,Fib6
POLR2L,0.99185604,1.7193134754488674e-69,1.931067157167754e-67,Fib6
RPS26,1.427722,3.4481891346888744e-69,3.844605038859311e-67,Fib6
HSPA1B,1.5058765,4.240326803361608e-69,4.693550139228157e-67,Fib6
RCN3,1.3675904,1.1355703818701675e-68,1.2479019843932956e-66,Fib6
