"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"193","ITGB1BP1",1.4288597,1.64878663879211e-135,8.45141473407701e-134,"Fib1",133.073070585751
"194","SPTBN1",1.124191,1.55234312240887e-135,7.9838522541399e-134,"Fib1",133.09778750852
"195","GFPT2",2.6966007,9.66193774356235e-134,4.87082835092128e-132,"Fib1",131.312397174793
"196","MAN1A1",1.7944996,1.98683359133556e-133,9.95045347791824e-132,"Fib1",131.002157126443
"197","OLFML3",1.1043628,2.43059531556598e-133,1.21331187729642e-131,"Fib1",130.916027551005
"198","CD70",4.729697,1.02474327504492e-130,5.0986819303945e-129,"Fib1",128.292542079655
"199","VIT",2.738208,1.04435453528814e-130,5.17938815796309e-129,"Fib1",128.285721540509
"200","STEAP4",2.6159978,2.10630865099487e-129,1.03452940977321e-127,"Fib1",126.985257158627
"201","HTRA3",1.7102773,5.04853381248788e-129,2.47167801236386e-127,"Fib1",126.607008105817
"202","SIRPA",2.5082736,2.25477034477202e-128,1.10037115068347e-126,"Fib1",125.958460804381
"203","PROCR",2.1875618,5.10462603302214e-127,2.45972121938212e-125,"Fib1",124.609114112305
"204","GPX4",0.9864815,1.6351826855704e-127,7.92933826098027e-126,"Fib1",125.100763055002
"205","EMP1",1.0443712,4.20964090804275e-127,2.03488179969472e-125,"Fib1",124.691460812597
"206","LAMC1",1.249925,2.90684339213797e-126,1.39191325438581e-124,"Fib1",123.856387829607
"207","ZNF385A",2.6458201,1.89529207415014e-125,8.96302985530755e-124,"Fib1",123.047545156966
"208","PAMR1",2.1168427,9.63513506500879e-126,4.58494355507817e-124,"Fib1",123.33866600653
"209","IL6ST",1.2340255,4.39048049621699e-126,2.09576842436608e-124,"Fib1",123.678656707173
"210","PIGT",1.3028402,1.61782130448418e-125,7.67460261676889e-124,"Fib1",123.114944102602
"211","KLF6",1.2799203,1.43823680494048e-124,6.78057629489684e-123,"Fib1",122.168733392998
"212","IGFBP4",1.0487127,2.60935941366515e-123,1.21518186108949e-121,"Fib1",120.915358721772
"213","C1QTNF7",2.6460662,4.20325401709897e-122,1.92806922255816e-120,"Fib1",119.714877377884
"214","HSPB6",2.3095613,3.40189586647133e-122,1.56990813777491e-120,"Fib1",119.804125759326
"215","MTSS1",3.0766912,1.49711054564114e-121,6.82637718945324e-120,"Fib1",119.165809718581
"216","LAMP1",1.087869,7.29181241503256e-122,3.33480343232402e-120,"Fib1",119.47692976018
"217","PXDC1",1.8861558,5.45660955238932e-121,2.47328519028923e-119,"Fib1",118.606725802997
"218","CLIC1",1.0926138,8.57426489457321e-121,3.87490817350905e-119,"Fib1",118.411738584825
"219","ADAM33",1.9786727,1.41458202044176e-119,6.31805273749937e-118,"Fib1",117.199416753311
"220","FYN",1.5746914,1.89481933871199e-119,8.43829895009494e-118,"Fib1",117.073745092598
"221","LTBP4",1.3488007,4.4906200305807e-119,1.98823828890204e-117,"Fib1",116.701531566944
"222","SNX9",1.3367302,4.47037136869005e-119,1.98502682141688e-117,"Fib1",116.702233620732
"223","CREG1",1.4316528,1.61964109400803e-118,7.12968810114488e-117,"Fib1",116.146929468593
"224","GBP2",2.151542,6.3420444223374e-118,2.78375656756333e-116,"Fib1",115.55536874535
"225","TFPI",1.6514086,6.95937900189795e-117,3.03727183582832e-115,"Fib1",114.517516336986
"226","EPB41L3",3.1107008,2.82693826109103e-115,1.21296297579117e-113,"Fib1",112.916152455238
"227","SLC29A1",1.3857946,4.37578008863521e-116,1.89348557659781e-114,"Fib1",113.722737998717
"228","VSIR",1.9489372,8.82815820460086e-115,3.7773141897837e-113,"Fib1",112.422816889884
"229","JUND",1.4058971,1.78563302021725e-114,7.618867146318e-113,"Fib1",112.118109599353
"230","TRAC",3.491366,1.03741715668911e-112,4.4018186301184e-111,"Fib1",110.356367855822
"231","THBS3",2.1006699,1.06718017927481e-112,4.51556156188996e-111,"Fib1",110.34528823249
"232","TACC1",1.2956915,4.6330199564181e-111,1.93888711874758e-109,"Fib1",108.712447474641
"233","SASH1",1.8912761,5.30152978455481e-110,2.20056705051833e-108,"Fib1",107.657465394097
"234","CD151",1.3466953,2.47245271904985e-109,1.01797076235813e-107,"Fib1",106.992264695407
"235","ANXA4",1.2181189,2.06510330784149e-108,8.45695791616053e-107,"Fib1",106.072785830556
"236","YWHAH",1.5057154,1.17686481655153e-107,4.80658023337559e-106,"Fib1",105.318163803873
"237","CLDN11",5.3291426,1.09094594265281e-105,4.40851832646075e-104,"Fib1",103.355707349481
"238","EMP3",1.083147,9.50024185577057e-107,3.86976518258388e-105,"Fib1",104.412315387178
"239","BRI3",1.2186832,1.15048390222993e-106,4.6738408528091e-105,"Fib1",104.33032607969
"240","C6orf132",3.8768704,1.13903671999909e-105,4.5907086802074e-104,"Fib1",103.338120266065
"241","FEZ1",1.8275582,1.90000488270188e-105,7.63751962717664e-104,"Fib1",103.117047660682
"242","COL14A1",1.0757557,3.43104425314455e-105,1.36838644821888e-103,"Fib1",102.86379123549
"243","MFAP4",0.8109295,8.90920415750629e-105,3.52559827735514e-103,"Fib1",102.452767174699
"244","YWHAQ",1.0070966,8.32646913511361e-105,3.30355366334702e-103,"Fib1",102.481018634063
"245","WIF1",2.9112906,2.70185048940434e-103,1.06367954189823e-101,"Fib1",100.973189193608
"246","CSF1",2.362803,4.21803732471531e-103,1.65631157159451e-101,"Fib1",100.780857963991
"247","TNFAIP6",1.9297348,1.92943731310263e-102,7.55696280965197e-101,"Fib1",100.121652715086
"248","ADGRD1",2.8827162,4.26664699862798e-102,1.65834689323263e-100,"Fib1",99.780324618503
"249","LIMA1",1.1112373,2.13798444187817e-102,8.35235609966471e-101,"Fib1",100.07819099796
"250","CTSL",1.3061737,7.74063158558697e-102,3.00096820989444e-100,"Fib1",99.5227386051551
"251","IQGAP1",1.0942941,9.34236688508047e-102,3.61277605492669e-100,"Fib1",99.4421589582006
"252","LRP10",1.1326402,1.09596242879988e-101,4.22748133836318e-100,"Fib1",99.3739183008594
"253","CKB",1.6254132,2.30727554266531e-101,8.87748965093518e-100,"Fib1",99.0517098253113
"254","UCHL1",2.6297553,1.11875618770104e-100,4.25099521570482e-99,"Fib1",98.3715093838106
"255","TPRG1",3.575813,2.30915352846572e-100,8.75243676112005e-99,"Fib1",98.0578710184545
"256","PLXDC2",1.2995096,4.80965936695331e-101,1.84591826206562e-99,"Fib1",98.7337875336025
"257","SH3D19",1.5343913,6.10312175173892e-101,2.33647079593514e-99,"Fib1",98.6314396429485
"258","TRIP10",1.9819841,1.05263448981961e-100,4.01974795799864e-99,"Fib1",98.3958011767369
"259","SGCG",3.8490496,4.96064773587878e-100,1.8658640427592e-98,"Fib1",97.7291200045502
"260","GAS6",1.4137944,1.09408029166445e-100,4.16760011350985e-99,"Fib1",98.3801139588131
"261","CDON",2.492333,3.9300938541113e-100,1.48227613880371e-98,"Fib1",97.8290708824651
"262","SAMHD1",1.4705012,4.97156573095251e-100,1.8658640427592e-98,"Fib1",97.7291200045502
"263","CPVL",2.4678638,1.37686058528435e-99,5.11716434068576e-98,"Fib1",97.290970635186
"264","NDFIP1",0.92473614,8.96071080131456e-100,3.35477591887451e-98,"Fib1",97.4743364830796
"265","RHOA",0.80520606,1.4921275495508e-99,5.53209910664768e-98,"Fib1",97.2571100481787
"266","LAMA4",1.1729816,5.03822979004671e-99,1.85891207833245e-97,"Fib1",96.7307411507327
"267","ABLIM1",1.6277164,9.85830340344208e-99,3.62856830090549e-97,"Fib1",96.4402646977369
"268","CLEC2B",1.3936726,1.06051048733284e-98,3.89406194567528e-97,"Fib1",96.4095971441229
"269","TGFBR2",1.2157457,1.39185562230812e-98,5.09846394022937e-97,"Fib1",96.2925606479735
"270","TUBA1B",0.8395718,3.17099361613043e-98,1.15601258917404e-96,"Fib1",95.9370374363488
"271","CSTB",1.0693247,3.06637554641523e-98,1.12054752324145e-96,"Fib1",95.9505697199912
"272","RRAS",1.6136597,4.42433054522976e-98,1.60908688281868e-96,"Fib1",95.7934205054908
"273","PPIC",1.1068923,5.50436938508011e-98,1.99713164743702e-96,"Fib1",95.6995933062505
"274","RTN3",1.4160542,1.00024632073392e-97,3.59500295275543e-96,"Fib1",95.4443007485732
"275","ITM2B",0.7977604,2.18829341844952e-97,7.82814565967598e-96,"Fib1",95.1063411019454
"276","TNXB",2.251986,6.36919515659085e-97,2.27311813123657e-95,"Fib1",94.6433779939226
"277","ANXA11",1.124379,1.47328050289958e-96,5.24577148759699e-95,"Fib1",94.2801906317474
"278","FAM107A",2.526633,4.45031980764906e-96,1.57357951532036e-94,"Fib1",93.8031113066482
"279","MT2A",1.0964458,2.03308178797215e-96,7.22216844448247e-95,"Fib1",94.1413323866298
"280","AGAP1",2.0798821,8.00246035070415e-96,2.82303884196318e-94,"Fib1",93.5492831463893
"281","LRRC2",2.724039,1.5365941990768e-95,5.40817428361709e-94,"Fib1",93.2669493212836
"282","APBB1IP",4.406453,4.45144930081039e-95,1.55953871719905e-93,"Fib1",92.8070038389529
"283","ZYX",1.1604128,1.86330823271012e-95,6.54299615049357e-94,"Fib1",93.1842233352144
"284","FAM180B",1.644008,6.67951524252954e-95,2.33477334850432e-93,"Fib1",92.6317552728159
"285","PRDX1",0.9799542,1.10242718860976e-94,3.84465189635024e-93,"Fib1",92.4151429761065
"286","ARFGEF3",5.0582914,1.22992314896432e-93,4.2313234460428e-92,"Fib1",91.373523775552
"287","OMD",1.1316447,1.29306750230732e-94,4.49922690153628e-93,"Fib1",92.3468621042782
"288","IL13RA1",1.6282692,2.52523686369524e-94,8.76658933930564e-93,"Fib1",92.0571693369897
"289","GABARAPL1",1.788136,4.24887048095295e-94,1.47168926522803e-92,"Fib1",91.8321838779351
"290","LIMS2",2.139825,1.06998369527721e-93,3.68939073258675e-92,"Fib1",91.4330453474785
"291","TRIOBP",1.4971263,9.21452304084244e-94,3.18443075676173e-92,"Fib1",91.496968190108
"292","ANK2",1.189906,1.83741048916294e-93,6.29292493766006e-92,"Fib1",91.2011474485091
"293","YBX3",0.9766648,3.29853020266715e-93,1.12466626887814e-91,"Fib1",90.9489763300742
"294","ATP2B4",1.2463864,9.67482639787734e-93,3.28406607172392e-91,"Fib1",90.4835881139471
"295","RETREG1",2.115545,3.11502145954656e-92,1.05269807067641e-90,"Fib1",89.9776961730138
"296","ADAMTSL1",4.78174,8.77945929777709e-91,2.92808385968439e-89,"Fib1",88.5334164893361
"297","HSPB8",2.6003454,3.16388764387239e-91,1.06450184493724e-89,"Fib1",88.9728535815292
"298","BST1",2.7593124,1.18952647950405e-90,3.95000369009225e-89,"Fib1",88.4034024986556
"299","LRRC32",1.5236723,7.25601703384793e-91,2.42528796919096e-89,"Fib1",88.6152366875749
"300","GLRX",1.8202456,1.85757221811319e-90,6.15497085285879e-89,"Fib1",88.2107739993488
"301","EHD2",1.2275009,5.72648277655377e-90,1.88517293991075e-88,"Fib1",87.7246488028037
"302","AXL",1.0032957,7.48295007891542e-90,2.45810887000931e-88,"Fib1",87.6093988860561
"303","ACAT1",1.4561423,9.33800620527193e-90,3.06090224861649e-88,"Fib1",87.5141505395841
"304","IRX5",2.4785402,3.54374727663985e-89,1.15663973612551e-87,"Fib1",86.9368018916766
"305","TMBIM1",1.2342899,3.03465438957645e-89,9.9259841115161e-88,"Fib1",87.0032264243116
"306","MXRA7",1.1547167,2.12593437287298e-88,6.90928671183718e-87,"Fib1",86.1605667852022
"307","FAM19A5",2.4952705,7.17878084833127e-88,2.30854478859495e-86,"Fib1",85.6366616951865
"308","CAVIN1",0.8616099,3.72843817384376e-88,1.20660790477677e-86,"Fib1",85.9184338338434
"309","IFI27",1.6526324,5.14436334576448e-88,1.6578090739779e-86,"Fib1",85.780465487593
"310","CD276",1.3968312,4.59863142721698e-88,1.48507600530104e-86,"Fib1",85.8282513188463
"311","CTSA",1.3686703,9.0485183636895e-88,2.90369995809574e-86,"Fib1",85.5370482616894
"312","SP5",3.567613,5.00678163385676e-87,1.59663026006601e-85,"Fib1",84.7967956440396
"313","C17orf58",2.4194767,9.38823273740927e-87,2.97521276066238e-85,"Fib1",84.5264819719597
"314","KLF4",1.0589142,4.90475665759853e-87,1.5706532063903e-85,"Fib1",84.8039196947671
"315","ALCAM",2.7577913,1.42641772205246e-86,4.49248055759821e-85,"Fib1",84.3475137937395
"316","ADH5",1.0362632,8.76485951720084e-87,2.78343511694892e-85,"Fib1",84.5554188978273
